Time,CW_change_mm,UHSLCFD_change_mm
1908-10-16,-156.480729167,
1909-01-16,-152.3140625,
1909-04-16,-146.3140625,
1909-07-16,-152.780729167,
1909-10-16,-148.647395833,
1910-01-16,-150.847395833,
1910-04-16,-150.947395833,
1910-07-16,-146.3140625,
1910-10-16,-148.7140625,
1911-01-16,-149.147395833,
1911-04-16,-144.080729167,
1911-07-16,-141.380729167,
1911-10-16,-133.580729167,
1912-01-16,-142.947395833,
1912-04-16,-149.680729167,
1912-07-16,-142.647395833,
1912-10-16,-141.080729167,
1913-01-16,-142.047395833,
1913-04-16,-150.2140625,
1913-07-16,-140.3140625,
1913-10-16,-136.1140625,
1914-01-16,-137.547395833,
1914-04-16,-139.647395833,
1914-07-16,-143.6140625,
1914-10-16,-132.180729167,
1915-01-16,-108.747395833,
1915-04-16,-124.2140625,
1915-07-16,-135.947395833,
1915-10-16,-136.347395833,
1916-01-16,-129.580729167,
1916-04-16,-125.580729167,
1916-07-16,-134.780729167,
1916-10-16,-132.6140625,
1917-01-16,-127.780729167,
1917-04-16,-137.380729167,
1917-07-16,-134.480729167,
1917-10-16,-135.680729167,
1918-01-16,-134.4140625,
1918-04-16,-138.547395833,
1918-07-16,-135.7140625,
1918-10-16,-134.147395833,
1919-01-16,-141.047395833,
1919-04-16,-138.380729167,
1919-07-16,-128.480729167,
1919-10-16,-130.780729167,
1920-01-16,-138.3140625,
1920-04-16,-134.8140625,
1920-07-16,-127.180729167,
1920-10-16,-133.780729167,
1921-01-16,-131.9140625,
1921-04-16,-126.8140625,
1921-07-16,-129.547395833,
1921-10-16,-136.547395833,
1922-01-16,-131.947395833,
1922-04-16,-129.880729167,
1922-07-16,-133.647395833,
1922-10-16,-134.747395833,
1923-01-16,-128.580729167,
1923-04-16,-126.5140625,
1923-07-16,-129.547395833,
1923-10-16,-134.280729167,
1924-01-16,-138.7140625,
1924-04-16,-136.380729167,
1924-07-16,-138.980729167,
1924-10-16,-139.0140625,
1925-01-16,-135.6140625,
1925-04-16,-137.1140625,
1925-07-16,-138.447395833,
1925-10-16,-135.847395833,
1926-01-16,-133.2140625,
1926-04-16,-135.580729167,
1926-07-16,-126.280729167,
1926-10-16,-122.680729167,
1927-01-16,-133.547395833,
1927-04-16,-128.7140625,
1927-07-16,-127.747395833,
1927-10-16,-131.980729167,
1928-01-16,-138.5140625,
1928-04-16,-134.580729167,
1928-07-16,-128.880729167,
1928-10-16,-133.880729167,
1929-01-16,-141.347395833,
1929-04-16,-133.1140625,
1929-07-16,-129.080729167,
1929-10-16,-131.447395833,
1930-01-16,-134.647395833,
1930-04-16,-136.0140625,
1930-07-16,-122.9140625,
1930-10-16,-124.780729167,
1931-01-16,-130.847395833,
1931-04-16,-130.080729167,
1931-07-16,-126.747395833,
1931-10-16,-131.2140625,
1932-01-16,-126.7140625,
1932-04-16,-124.4140625,
1932-07-16,-125.147395833,
1932-10-16,-122.647395833,
1933-01-16,-117.547395833,
1933-04-16,-116.3140625,
1933-07-16,-119.980729167,
1933-10-16,-122.880729167,
1934-01-16,-123.847395833,
1934-04-16,-120.647395833,
1934-07-16,-127.347395833,
1934-10-16,-128.547395833,
1935-01-16,-119.347395833,
1935-04-16,-116.1140625,
1935-07-16,-118.147395833,
1935-10-16,-123.747395833,
1936-01-16,-120.5140625,
1936-04-16,-124.947395833,
1936-07-16,-124.8140625,
1936-10-16,-124.080729167,
1937-01-16,-119.7140625,
1937-04-16,-117.547395833,
1937-07-16,-119.880729167,
1937-10-16,-115.847395833,
1938-01-16,-110.9140625,
1938-04-16,-112.1140625,
1938-07-16,-121.547395833,
1938-10-16,-115.147395833,
1939-01-16,-114.580729167,
1939-04-16,-111.547395833,
1939-07-16,-101.480729167,
1939-10-16,-112.0140625,
1940-01-16,-111.9140625,
1940-04-16,-117.480729167,
1940-07-16,-121.680729167,
1940-10-16,-111.180729167,
1941-01-16,-106.0140625,
1941-04-16,-103.4140625,
1941-07-16,-100.747395833,
1941-10-16,-101.480729167,
1942-01-16,-107.247395833,
1942-04-16,-108.347395833,
1942-07-16,-101.447395833,
1942-10-16,-97.0473958333,
1943-01-16,-97.8807291667,
1943-04-16,-98.5140625,
1943-07-16,-104.0140625,
1943-10-16,-107.980729167,
1944-01-16,-105.247395833,
1944-04-16,-102.8140625,
1944-07-16,-116.947395833,
1944-10-16,-112.880729167,
1945-01-16,-107.647395833,
1945-04-16,-107.0140625,
1945-07-16,-104.447395833,
1945-10-16,-108.447395833,
1946-01-16,-103.547395833,
1946-04-16,-98.6807291667,
1946-07-16,-92.6807291667,
1946-10-16,-101.0140625,
1947-01-16,-104.280729167,
1947-04-16,-101.747395833,
1947-07-16,-97.4473958333,
1947-10-16,-86.8473958333,
1948-01-16,-87.3473958333,
1948-04-16,-92.9807291667,
1948-07-16,-91.8140625,
1948-10-16,-90.8473958333,
1949-01-16,-87.3140625,
1949-04-16,-92.5473958333,
1949-07-16,-95.4140625,
1949-10-16,-93.6807291667,
1950-01-16,-92.2807291667,
1950-04-16,-92.2473958333,
1950-07-16,-91.4473958333,
1950-10-16,-87.6140625,
1951-01-16,-82.0140625,
1951-04-16,-74.0140625,
1951-07-16,-82.3140625,
1951-10-16,-83.9473958333,
1952-01-16,-85.0807291667,
1952-04-16,-86.9807291667,
1952-07-16,-84.4807291667,
1952-10-16,-79.6140625,
1953-01-16,-76.8473958333,
1953-04-16,-78.2807291667,
1953-07-16,-75.3473958333,
1953-10-16,-82.2140625,
1954-01-16,-82.1807291667,
1954-04-16,-81.2473958333,
1954-07-16,-86.7140625,
1954-10-16,-80.8140625,
1955-01-16,-72.3807291667,
1955-04-16,-79.6140625,
1955-07-16,-87.4473958333,
1955-10-16,-81.7473958333,
1956-01-16,-82.3807291667,
1956-04-16,-82.3807291667,
1956-07-16,-86.5807291667,
1956-10-16,-90.0140625,
1957-01-16,-83.0140625,
1957-04-16,-70.1140625,
1957-07-16,-69.5473958333,
1957-10-16,-72.8473958333,
1958-01-16,-72.2473958333,
1958-04-16,-73.3140625,
1958-07-16,-72.9140625,
1958-10-16,-68.8140625,
